datetime;HR [bpm];HRV [ms];
2023-04-13T07:47:56.883;73
2023-04-13T07:47:57.871;72
2023-04-13T07:47:58.904;71
2023-04-13T07:47:59.925;70;11.7
2023-04-13T07:48:00.870;70;12.2
2023-04-13T07:48:01.860;70;16.5
2023-04-13T07:48:02.880;70;15.3
2023-04-13T07:48:03.915;70;14.3
2023-04-13T07:48:04.860;70;13.5
2023-04-13T07:48:05.882;70;16.3
2023-04-13T07:48:06.868;69;15.7
2023-04-13T07:48:07.911;69;15.7
2023-04-13T07:48:08.958;68;15.2
2023-04-13T07:48:09.947;68;14.7
2023-04-13T07:48:10.871;69;21.8
2023-04-13T07:48:11.879;70;30.5
2023-04-13T07:48:12.918;75;30.3
2023-04-13T07:48:13.912;76;29.6
2023-04-13T07:48:14.893;78;28.9
2023-04-13T07:48:15.874;78;28.3
2023-04-13T07:48:16.875;80;27.8
2023-04-13T07:48:17.924;82;27.6
2023-04-13T07:48:18.926;85;27.4
2023-04-13T07:48:19.866;87;27.2
2023-04-13T07:48:20.884;89;27.1
2023-04-13T07:48:21.922;91;27.4
2023-04-13T07:48:22.939;91;52.8
2023-04-13T07:48:23.928;91;52.7
2023-04-13T07:48:24.877;90;52.5
2023-04-13T07:48:25.886;90;52.9
2023-04-13T07:48:26.930;84;52.9
2023-04-13T07:48:27.926;76;52.6
2023-04-13T07:48:28.866;75;52.5
2023-04-13T07:48:29.886;74;52.5
2023-04-13T07:48:30.920;74;52.6
2023-04-13T07:48:31.908;74;56.3
2023-04-13T07:48:32.931;75;56.3
2023-04-13T07:48:33.872;74;54.8
2023-04-13T07:48:34.877;74;52.6
2023-04-13T07:48:35.895;74;53.5
2023-04-13T07:48:36.931;73;53.2
2023-04-13T07:48:37.886;72;53.2
2023-04-13T07:48:38.891;72;55.2
2023-04-13T07:48:39.998;75;57.9
2023-04-13T07:48:40.873;76;57.7
2023-04-13T07:48:42.038;77;57.2
2023-04-13T07:48:42.911;78;57.5
2023-04-13T07:48:43.875;81;57.7
2023-04-13T07:48:44.935;82;57.6
2023-04-13T07:48:45.995;83;35.8
2023-04-13T07:48:46.883;83;38.3
2023-04-13T07:48:47.890;82;37.9
2023-04-13T07:48:48.901;82;37.9
2023-04-13T07:48:49.932;83;38.5
2023-04-13T07:48:50.930;83;38.5
2023-04-13T07:48:51.883;84;38.2
2023-04-13T07:48:52.865;85;32.4
2023-04-13T07:48:53.934;85;32.4
2023-04-13T07:48:54.882;85;32.4
2023-04-13T07:48:55.878;83;35.9
2023-04-13T07:48:56.891;81;34.2
2023-04-13T07:48:57.885;81;35.4
2023-04-13T07:48:58.909;82;38.4
2023-04-13T07:48:59.931;83;35.2
2023-04-13T07:49:00.873;83;30.4
2023-04-13T07:49:01.868;83;32.1
2023-04-13T07:49:02.948;79;32.2
2023-04-13T07:49:03.920;75;51.0
2023-04-13T07:49:04.871;73;51.0
2023-04-13T07:49:05.882;72;50.7
2023-04-13T07:49:06.877;71;50.4
2023-04-13T07:49:07.913;70;50.4
2023-04-13T07:49:08.924;68;50.5
2023-04-13T07:49:09.872;68;51.9
2023-04-13T07:49:10.870;70;51.2
2023-04-13T07:49:11.890;71;53.6
2023-04-13T07:49:12.926;80;54.4
2023-04-13T07:49:13.913;83;54.5
2023-04-13T07:49:14.919;84;54.5
2023-04-13T07:49:15.919;86;54.5
2023-04-13T07:49:16.943;87;54.5
2023-04-13T07:49:17.963;88;51.7
2023-04-13T07:49:18.874;89;51.7
2023-04-13T07:49:19.876;90;50.9
2023-04-13T07:49:20.894;90;48.7
2023-04-13T07:49:21.936;91;48.7
2023-04-13T07:49:22.913;90;47.6
2023-04-13T07:49:23.906;91;26.5
2023-04-13T07:49:24.887;92;26.4
2023-04-13T07:49:25.957;92;26.4
2023-04-13T07:49:26.999;91;27.0
2023-04-13T07:49:27.892;90;27.9
2023-04-13T07:49:28.879;88;25.1
2023-04-13T07:49:29.889;87;25.0
2023-04-13T07:49:30.925;87;22.4
2023-04-13T07:49:31.906;87;15.7
2023-04-13T07:49:32.893;86;11.2
2023-04-13T07:49:33.876;81;16.0
2023-04-13T07:49:34.911;76;31.8
2023-04-13T07:49:35.942;74;31.8
2023-04-13T07:49:36.892;73;32.0
2023-04-13T07:49:37.868;73;33.2
2023-04-13T07:49:38.945;73;33.2
2023-04-13T07:49:39.975;73;33.2
2023-04-13T07:49:40.983;72;33.3
2023-04-13T07:49:41.894;72;33.4
2023-04-13T07:49:42.873;72;33.4
2023-04-13T07:49:43.939;71;33.4
2023-04-13T07:49:44.898;71;33.6
2023-04-13T07:49:45.915;72;33.7
2023-04-13T07:49:46.875;73;35.7
2023-04-13T07:49:47.922;75;35.9
2023-04-13T07:49:48.948;76;35.9
2023-04-13T07:49:49.913;76;35.9
2023-04-13T07:49:50.895;76;37.7
2023-04-13T07:49:51.878;75;38.2
2023-04-13T07:49:52.943;74;38.5
2023-04-13T07:49:53.975;74;38.6
2023-04-13T07:49:54.987;73;38.6
2023-04-13T07:49:55.881;72;38.8
2023-04-13T07:49:56.889;71;38.9
2023-04-13T07:49:57.969;71;36.9
2023-04-13T07:49:58.903;71;24.7
2023-04-13T07:49:59.905;72;26.9
2023-04-13T07:50:00.878;72;26.9
2023-04-13T07:50:01.932;73;25.4
2023-04-13T07:50:02.930;73;25.7
2023-04-13T07:50:04.010;73;25.5
2023-04-13T07:50:04.870;73;25.5
2023-04-13T07:50:05.887;73;25.5
2023-04-13T07:50:06.988;74;26.1
2023-04-13T07:50:08.005;75;26.1
2023-04-13T07:50:08.909;76;25.7
2023-04-13T07:50:09.909;77;24.8
2023-04-13T07:50:10.888;79;24.3
2023-04-13T07:50:11.987;80;24.3
2023-04-13T07:50:12.976;81;20.7
2023-04-13T07:50:13.867;82;18.6
2023-04-13T07:50:14.906;84;18.3
2023-04-13T07:50:15.963;87;18.3
2023-04-13T07:50:16.907;89;18.6
2023-04-13T07:50:17.933;91;18.5
2023-04-13T07:50:18.873;92;18.5
2023-04-13T07:50:19.863;93;18.4
2023-04-13T07:50:20.971;93;19.8
2023-04-13T07:50:21.953;93;46.8
2023-04-13T07:50:22.951;93;46.7
2023-04-13T07:50:23.889;92;46.6
2023-04-13T07:50:24.880;87;46.7
2023-04-13T07:50:25.962;85;46.9
2023-04-13T07:50:26.942;83;47.8
2023-04-13T07:50:27.881;82;48.1
2023-04-13T07:50:28.872;83;49.2
2023-04-13T07:50:29.949;86;50.2
2023-04-13T07:50:30.926;87;49.3
2023-04-13T07:50:31.911;89;49.3
2023-04-13T07:50:32.899;89;49.7
2023-04-13T07:50:33.879;88;49.7
2023-04-13T07:50:34.883;88;49.7
2023-04-13T07:50:35.933;88;49.5
2023-04-13T07:50:36.896;87;49.5
2023-04-13T07:50:37.871;87;49.4
2023-04-13T07:50:39.019;87;49.3
2023-04-13T07:50:39.925;87;49.4
2023-04-13T07:50:40.921;87;48.0
2023-04-13T07:50:41.891;88;22.3
2023-04-13T07:50:42.904;89;22.3
2023-04-13T07:50:43.935;89;22.1
2023-04-13T07:50:44.935;89;22.1
2023-04-13T07:50:45.892;88;19.6
2023-04-13T07:50:46.869;88;19.6
2023-04-13T07:50:47.896;88;15.3
2023-04-13T07:50:48.924;87;14.8
2023-04-13T07:50:49.922;87;11.1
2023-04-13T07:50:50.898;88;13.2
2023-04-13T07:50:51.879;88;13.2
2023-04-13T07:50:52.924;88;11.5
2023-04-13T07:50:53.963;86;16.5
2023-04-13T07:50:54.951;85;17.4
2023-04-13T07:50:55.899;84;17.4
2023-04-13T07:50:56.889;82;17.6
2023-04-13T07:50:57.925;81;17.6
2023-04-13T07:50:58.927;81;23.1
2023-04-13T07:51:45.705;82;23.3
2023-04-13T07:51:45.721;83;23.2
2023-04-13T07:51:45.732;83;22.4
2023-04-13T07:51:45.739;84;22.4
2023-04-13T07:51:45.756;84;22.5
2023-04-13T07:51:45.769;84;22.7
2023-04-13T07:51:45.782;83;24.0
2023-04-13T07:51:45.793;82;23.9
2023-04-13T07:51:45.803;82;24.1
2023-04-13T07:51:45.815;82;24.3
2023-04-13T07:51:45.831;83;24.3
2023-04-13T07:51:45.841;83;24.3
2023-04-13T07:51:45.849;82;25.0
2023-04-13T07:51:45.859;81;24.3
2023-04-13T07:51:45.876;80;24.3
2023-04-13T07:51:45.894;80;24.2
2023-04-13T07:51:45.905;80;20.3
2023-04-13T07:51:45.915;80;21.6
2023-04-13T07:51:45.925;80;21.2
2023-04-13T07:51:45.939;81;21.2
2023-04-13T07:51:45.951;81;21.2
2023-04-13T07:51:45.962;81;15.2
2023-04-13T07:51:45.976;81;14.9
2023-04-13T07:51:45.987;81;15.0
2023-04-13T07:51:45.997;81;15.0
2023-04-13T07:51:46.009;80;15.1
2023-04-13T07:51:46.022;80;14.6
2023-04-13T07:51:46.037;81;15.0
2023-04-13T07:51:46.051;82;15.8
2023-04-13T07:51:46.065;84;15.6
2023-04-13T07:51:46.073;84;15.2
2023-04-13T07:51:46.087;86;15.2
2023-04-13T07:51:46.100;87;15.2
2023-04-13T07:51:46.118;87;13.7
2023-04-13T07:51:46.129;87;13.9
2023-04-13T07:51:46.142;87;14.2
2023-04-13T07:51:46.152;87;14.2
2023-04-13T07:51:46.163;87;14.3
2023-04-13T07:51:46.179;86;13.1
2023-04-13T07:51:46.189;85;13.2
2023-04-13T07:51:46.203;84;13.2
2023-04-13T07:51:46.213;84;13.1
2023-04-13T07:51:46.225;84;13.3
2023-04-13T07:51:46.239;86;14.0
2023-04-13T07:51:46.249;86;14.0
2023-04-13T07:51:46.262;86;13.9
2023-04-13T07:51:46.276;85;15.0
2023-04-13T07:51:46.862;84;17.9
2023-04-13T07:51:47.944;82;15.7
2023-04-13T07:51:48.932;83;17.9
2023-04-13T07:51:49.870;83;19.5
2023-04-13T07:51:50.899;84;19.5
2023-04-13T07:51:51.878;85;19.5
2023-04-13T07:51:52.923;84;21.6
2023-04-13T07:51:53.931;84;21.5
2023-04-13T07:51:54.919;84;21.3
2023-04-13T07:51:55.875;84;21.5
2023-04-13T07:51:57.041;85;21.6
2023-04-13T07:51:57.923;86;21.7
2023-04-13T07:51:58.888;88;21.3
2023-04-13T07:52:46.950;89;21.4
2023-04-13T07:52:47.531;90;21.4
2023-04-13T07:52:47.540;90;21.3
2023-04-13T07:52:47.561;90;21.7
2023-04-13T07:52:47.575;89;21.3
2023-04-13T07:52:47.595;83;26.4
2023-04-13T07:52:47.622;76;37.3
2023-04-13T07:52:47.631;75;37.6
2023-04-13T07:52:47.656;74;37.5
2023-04-13T07:52:47.671;73;38.3
2023-04-13T07:52:47.682;74;39.0
2023-04-13T07:52:47.696;75;38.1
2023-04-13T07:52:47.707;76;38.2
2023-04-13T07:52:47.720;77;38.1
2023-04-13T07:52:47.752;78;38.1
2023-04-13T07:52:47.808;78;38.2
2023-04-13T07:52:47.850;76;42.9
2023-04-13T07:52:47.886;76;42.9
2023-04-13T07:52:47.934;77;45.6
2023-04-13T07:52:47.969;78;45.6
2023-04-13T07:52:48.009;80;45.7
2023-04-13T07:52:48.042;81;45.7
2023-04-13T07:52:48.060;81;45.6
2023-04-13T07:52:48.071;82;45.6
2023-04-13T07:52:48.105;81;47.0
2023-04-13T07:52:48.114;80;46.7
2023-04-13T07:52:48.133;80;44.0
2023-04-13T07:52:48.157;80;35.8
2023-04-13T07:52:48.182;81;36.1
2023-04-13T07:52:48.622;82;35.7
2023-04-13T07:52:48.634;81;36.8
2023-04-13T07:52:48.646;80;34.3
2023-04-13T07:52:48.656;79;33.6
2023-04-13T07:52:48.671;79;33.4
2023-04-13T07:52:48.681;79;33.3
2023-04-13T07:52:48.701;80;34.8
2023-04-13T07:52:48.717;83;27.8
2023-04-13T07:52:48.729;84;28.4
2023-04-13T07:52:48.740;86;28.4
2023-04-13T07:52:48.753;87;23.7
2023-04-13T07:52:48.775;87;25.9
2023-04-13T07:52:48.804;86;25.4
2023-04-13T07:52:48.819;87;25.7
2023-04-13T07:52:48.830;89;27.3
2023-04-13T07:52:48.846;91;24.8
2023-04-13T07:52:48.856;91;24.8
2023-04-13T07:52:48.871;91;25.1
2023-04-13T07:52:49.011;91;24.6
2023-04-13T07:52:49.020;90;24.2
2023-04-13T07:52:49.034;89;24.2
2023-04-13T07:52:49.895;88;22.2
2023-04-13T07:52:50.916;87;22.2
2023-04-13T07:52:51.974;87;21.6
2023-04-13T07:52:52.915;88;22.3
2023-04-13T07:52:53.900;89;20.7
2023-04-13T07:52:54.890;91;19.6
2023-04-13T07:52:55.909;91;19.1
2023-04-13T07:52:56.986;90;18.4
2023-04-13T07:52:57.931;86;27.5
2023-04-13T07:52:58.867;85;27.3
2023-04-13T07:52:59.890;84;26.4
2023-04-13T07:53:00.977;84;27.5
2023-04-13T07:53:01.914;85;28.0
2023-04-13T07:53:02.924;86;28.1
2023-04-13T07:53:50.900;87;26.5
2023-04-13T07:53:50.915;86;29.6
2023-04-13T07:53:50.925;78;39.9
2023-04-13T07:53:50.938;77;39.9
2023-04-13T07:53:50.948;76;39.8
2023-04-13T07:53:50.964;75;39.7
2023-04-13T07:53:50.978;75;39.9
2023-04-13T07:53:50.993;76;42.9
2023-04-13T07:53:51.006;78;43.2
2023-04-13T07:53:51.022;79;43.2
2023-04-13T07:53:51.043;79;43.2
2023-04-13T07:53:51.054;79;42.7
2023-04-13T07:53:51.067;80;42.9
2023-04-13T07:53:51.087;79;43.0
2023-04-13T07:53:51.098;79;43.0
2023-04-13T07:53:51.112;80;39.0
2023-04-13T07:53:51.120;81;38.9
2023-04-13T07:53:51.131;82;38.9
2023-04-13T07:53:51.145;83;38.3
2023-04-13T07:53:51.156;82;37.8
2023-04-13T07:53:51.170;81;37.2
2023-04-13T07:53:51.182;82;37.2
2023-04-13T07:53:51.197;82;34.8
2023-04-13T07:53:51.209;83;23.5
2023-04-13T07:54:14.938;85;23.8
2023-04-13T07:54:14.948;86;23.9
2023-04-13T07:54:14.968;89;23.5
2023-04-13T07:54:14.983;91;17.4
2023-04-13T07:54:14.993;93;16.5
2023-04-13T07:54:15.007;96;16.5
2023-04-13T07:54:15.014;96;16.0
2023-04-13T07:54:15.027;94;17.3
2023-04-13T07:54:15.037;93;17.4
2023-04-13T07:54:15.049;93;17.3
2023-04-13T07:54:15.057;93;17.3
2023-04-13T07:54:15.066;92;17.4
2023-04-13T07:54:15.077;87;16.3
2023-04-13T07:54:15.095;76;34.2
2023-04-13T07:54:15.108;74;35.0
2023-04-13T07:54:15.116;73;34.8
2023-04-13T07:54:15.133;72;36.5
2023-04-13T07:54:15.145;73;40.4
2023-04-13T07:54:15.158;78;41.9
2023-04-13T07:54:15.171;84;42.4
2023-04-13T07:54:15.179;86;42.2
