web-scraper-order,web-scraper-start-url,vehicle-name,vehicle-desc,mileage,price,pagination
"1712863802-1","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Mazda MX-30 GT Entièrement électrique , 160 km D'autonomie! He","Heated front seats, freestyle rear doors, Sunroof, Navigation, Electric EV, Heads up display, back up camera, heated steering wheel, Aerial view camera system, Lane keeping system, Adaptive cruise control

Coussin gonflable pour le conducteur,Coussin gonflable pour le passage...","27,707 km","$24,995",""
"1712863802-2","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Audi Q4 e-tron EV Komfort quattro komfort | Moon Roof / quattro k","**Moteurs électrique**Transmission automatique 1 vitesse
**Sièges avant chauffants**Système audio**Toit ouvrant panoramique**Système de navigation**Caméra de recul**Climatisation automatique
**Roues de 19 pouces*Pourquoi acheter chez nous ?*Admissible à la garantie limitée Aud...","5,923 km","$58,995",""
"1712863802-3","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2018 Chevrolet Bolt EV 5dr Wgn LT","EV Électrique, Climatiseur, Bancs et Volant Chauffants, Caméra e recul, Cruise, Gr. Électrique, Mags et Bluetooth.
Inspection Mécanique et Carfax fourni!

FINANCEMENT DISPONIBLE!","66,068 km","$22,988",""
"1712863802-4","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2020 Kia Optima PHEV EX HYBRID BAS KILOS","Le Kia Optima PHEV 2020 est une voiture hybride rechargeable offrant une combinaison de performances écoénergétiques et de fonctionnalités avancées. Proposé sur le marché canadien, ce modèle se distingue par plusieurs avantages et équipements de série.

Sous le capot, le Kia O...","45,669 km","$30,985",""
"1712863802-5","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai Ioniq Preferred","","39,169 km","$38,895",""
"1712863802-6","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Toyota bZ4X XLE AWD Technology pack.Caméra 360 Cuir Carplay+++","Un seul propriétaire / Jamais accidenté / Certifié Toyota / Inspection 160 points / Comme neuf! / Très propre!!! / Modèle Techology / Traction intégrale ++++

Léveillé Toyota est présent depuis plus de 51 ans à Terrebonne, QC grâce à son souci d'un service à la clientèle de pr...","8,984 km","$47,997",""
"1712863802-7","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2018 BMW i3 Auto w-Range Extender","BMW - I3
4 portes ( 2 papillons )
2018 BMW i3 W/ RANGE EXTENDER,  -
Systeme de navigation- Rétroviseurs électriques rétractables- Afficheur électronique des commandes de bord -Conduite éco ou performante - Freinage par décélération - Climatisation pre-programmable - Recharge p...","105,000 km","$26,500",""
"1712863802-8","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai Kona Electric Ultimate FWD","Acheté neuf en 2022, garantie prolongée 8 ans transférable, un seul proprio, tapis d'hiver moulés, pneus 4 saison et d'hiver (Michelin X-Ice)","33,000 km","$33,995",""
"1712863802-9","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Audi e-tron TECHNIK ORANGE CALIPER | DRIVER ASSIST | TOIT |NAV","Vous êtes à la recherche d'une Audi E-Tron Technik Quattro 2021 d'occasion à vendre dans les Laurentides, dans les régions de St-Jérôme, Blainville ou encore Terrebonne? Audi Blainville, votre concessionnaire Audi de référence dans les Laurentides, situé en face des Premium Ou...","27,895 km","$62,995",""
"1712863802-10","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Chevrolet Bolt EV EV/GROUPE CHAUFFANT/JANTES/CAMERA/DEMARREUR","JAMAIS ACCIDENTÉ, CARFAX DISPONIBLE, GARANTI CERTIFIÉ, VÉHICULES ÉLECTRIQUE, TRANSMISSION AUTOMATIQUE, KILOMÈTRAGE CERTIFIÉ, JANTES EN ALLIAGE, SYSTÈME BLUETOOTH, SYSTÈME APPLE CARPLAY, SYSTÈME ANDROID AUTO, ÉCRAN TACTILE, CAMERA DE RECUL, APPUYER POUR DÉMARRER, DÉMARRAGE À DI...","96,401 km","$24,995",""
